Status;Año - mes;Descripción SAP ;Nombre Lean;SAP;División;Marca;Tipo de Actividad;Clasificación;NPS;Nº APO;TON;Nº Rolling;TONxRolling;120;90;60;30;;;;;;;;;;;
1;2025-03;CNSMTCaldoPllTom48.825kgPRBotadero N2 MX;Botadero Display polvo nueva;12592097;Culinarios;Consomate;In&Out;Botaderos de Origen;1.762.000;499,743975;24,4;25;-0,6;1;1;1;1;;;;;;;;;;;
1;2025-03;TASTER'S CHOICE 5x190g PRChecoTermoMX;TASTER´S - Taster´s Choice 190g + 1 termo;12592647;Cafés;Tasters;Innovaciones;Ofertas Armadas + Promocional;13;5785,714286;10;2;8;1;1;1;1;;;;;;;;;;;
1;2025-03;NDG Iced Cappuccino 3Pack 5x405g MX;NDG Iced Cappuccino 3pack;12593169;Dolce Gusto- Sbux;Dolce Gusto;In&Out;Sabores;2.225;;3;6;-3;1;1;1;1;;;;;;;;;;;
1;2025-03;CARNATION Leche Evaporada MP16(3x360g)MX;3 pack Carnation 360g;12594094;Lácteos Culinarios;Carnation;In&Out;Ofertas Armadas;49.574;59305,55554;1024;870;154;1;1;1;1;;;;;;;;;;;
1;2025-03;NAN HA BL DENWHPB217 12x400g MX;NAN HA 400g;12598891;Fórmulas Infantiles;Nan Ha;Línea;Empaque;12.253.042;509,296841;17,2;;17,2;1;1;1;1;;;;;;;;;;;
1;2025-03;CARNATIONLecheEvaporadaLat190(10x360g)MX;Carnation 10x360g;12602138;Lácteos Culinarios;Carnation;In&Out;Ofertas Armadas;33.756;723,55275;579;503;76;1;1;1;1;;;;;;;;;;;
1;2025-03;NAN 3 OPTIPRO IF CP 80(2x1.6kg+400g)MX;NAN 3 OPTIPRO 2x1.6kg+400g;12603135;Fórmulas Infantiles;Nan 3;In&Out;Ofertas Armadas;31.974.400;517,36111;184;143;41;1;1;1;1;;;;;;;;;;;
1;2025-03;NAN 3 Optimal Pro 3(1.5kg+400g) MX;NAN 3 Optimal 1.5kg+400g;12603143;Fórmulas Infantiles;Nan 3;In&Out;Ofertas Armadas;2.000.000;1670;10;11;-1;1;1;1;1;;;;;;;;;;;
1;2025-03;NAN 3 Optimal Pro 3(1.6kg+320g) MX;NAN 3 Optimal 1.6kg+320g;12604648;Fórmulas Infantiles;Nan 3;In&Out;Ofertas Armadas;20.000.254;17187,5;99;81;18;1;1;1;1;;;;;;;;;;;
1;2025-03;NESCAFE CLASICO Pack 6(2x120g) MX;Clasico Duo Pack 2x120g;12604672;Cafés;Clásico;In&Out;Ofertas Armadas;83;65481,46002;160;;160;1;1;1;1;;;;;;;;;;;
1;2025-03;CARLOS V ChocolateSinAzucar 480 (20x17g)MX;Carlos V Bombero 2.0;12604682;Impulso;Carlos V;In&Out;Empaque;;169,764875;;32;-32;1;1;1;1;;;;;;;;;;;
1;2025-03;CARLOS V+CRUNCH 12(30x8g) MX;Bolsa Mix Sticks Carlos V + Crunch;12605473;Impulso;Carlos V;Innovaciones;Empaque;;7986,111098;;23;-23;1;1;1;1;;;;;;;;;;;
1;2025-03;NAN 3 Optimal Pro 12 (720+80g) MX;NAN 3 Optimal 720+80g;12606868;Fórmulas Infantiles;Nan 3;In&Out;Ofertas Armadas;6.008.315;2524,000002;24;11;13;1;1;1;1;;;;;;;;;;;
1;2025-03;ABUELITA+CARN UHT 9(7x85+360)g PR360g MX​;Abuelita Buki;12612133;Mesa;Abuelita;In&Out;Ofertas Armadas;;13379,87202;;105;-105;1;1;1;1;;;;;;;;;;;
1;2025-03;ABUELITA+CARN UHT AS9(6x85+360)gPR360gMX​;Abuelita Chayanne;12612145;Mesa;Abuelita;In&Out;Ofertas Armadas;;13793,10345;;108;-108;1;1;1;1;;;;;;;;;;;
1;2025-03;ABUELITA+CARN Lata 9(7x85+360)gPR360gMX​;Abuelita Lucerito;12612146;Mesa;Abuelita;In&Out;Ofertas Armadas;;18266,43397;;159;-159;1;1;1;1;;;;;;;;;;;
1;2025-03;ABLI+CARN LataClub344(7x85+720)gPR720gMX​;Abuelita José José;12612176;Mesa;Abuelita;In&Out;Ofertas Armadas;;173,505419;;;;1;1;1;1;;;;;;;;;;;
1;2025-03;ABUELITA 10x360gPRPolvorones296g MX;Abuelita Polvorones;12612394;Mesa;Abuelita;Innovaciones;Ofertas Armadas;;27777,77777;;87;-87;1;1;1;1;;;;;;;;;;;
1;2025-03;NIDO Kinder Deslactosado 6x1.725kg MX;NIDO Kinder Deslactosado 1.725kg;12614673;Leches De Crecimiento;Nido Kinder;In&Out;Jirafas;22;0;124;;124;1;1;1;1;;;;;;;;;;;
